matrix_id,comparison_layer,brand,system,comparison_role,product_status,transmission_architecture,key_strength,main_risk_or_gap,how_to_compete_or_learn,source_ids,evidence_status
C001,L1 direct MGU,Pinion,"E-Drive MGU E1.9/E1.12","primary production benchmark","production / OEM available","motor plus 9/12-speed gearbox","Clear production reference, wide ratio range, low-maintenance drivetrain proposition, OEM proof.","Weight, price, service model, noise and ride-feel details need deeper user evidence.","Learn from architecture, OEM package and service model; compete on weight, UX, cost or target segment focus.","O001","official_text_verified"
C002,L1 direct MGU,"DJI / Avinox","MG Concept","future threat / user reference","concept or pre-production signal","reported eCVT / MGU","Strong brand, high integration credibility, likely strong motor-control/software packaging.","Official specifications and production readiness not verified; cannot use M2S specs as proxy.","Track closely; use as future-facing design target but benchmark against verified sources only.","S001;S002","media_verified_official_gap"
C003,L1 direct MGU,Gobao,"X1 / X1P MGU","China supply-chain threat","reported planned production","reported eCVT / MGU","Potentially faster cost-down and OEM-supplier route in China/global markets.","Official X-series specifications and OEM wins not extracted.","Track specifications, pricing and production timing; compare supplier strategy with in-house strategy.","O003;S001","media_plus_official_anchor"
C004,L1 direct MGU,Valeo,"Cyclee / Smart e-Bike System","historical architecture reference","current status uncertain","motor plus automatic multi-speed gearbox, pending verification","Important prior example of motor plus automatic gearbox concept.","Current commercial status unclear; specs not verified in first pass.","Use for lessons learned, supplier partnerships and reasons adoption may have stalled.","O020","source_url_collected_needs_text_pass"
C005,L1 direct MGU,Revonte,"Revonte ONE","historical CVT/integrated-drive reference","current status uncertain","reported stepless integrated drive, pending verification","Relevant to eCVT/stepless control problem.","Company/product status, production bikes and official archive need verification.","Use as cautionary case; identify technical/commercial blockers.","O021","source_url_collected_needs_text_pass"
C006,L2 quasi-direct,Bosch,"eShift","system-integration benchmark","production ecosystem","mid-drive plus partner electronic/automatic shifting","Strong OEM ecosystem, display/app/service integration, partner transmission flexibility.","Does not remove external drivetrain wear in all configurations.","Learn UX, compatibility matrix, diagnostics and partner strategy; compete via lower maintenance if MGU is chosen.","O004","official_text_verified"
C007,L2 quasi-direct,Shimano,"EP801 + Di2 AUTO SHIFT / FREE SHIFT","automatic-shift UX benchmark","production ecosystem","mid-drive plus Di2 electronic drivetrain","Strong drivetrain ownership, automatic/free-shift user experience, broad OEM familiarity.","Still relies on external drivetrain architecture; compatibility-dependent.","Learn sensor/control strategy and manual override; compete via sealed drivetrain and lower maintenance.","O006;O007","official_text_verified"
C008,L2 quasi-direct,SRAM,"Eagle Powertrain","premium eMTB ecosystem benchmark","production ecosystem","motor control plus AXS Transmission","High-end eMTB positioning and integrated shifting/motor experience.","Official current specs and OEM list need extraction; not motor-internal shifting.","Learn high-performance UX and software integration; compete by reducing drivetrain exposure/maintenance.","O008","source_url_collected_needs_text_pass"
C009,L2 quasi-direct,enviolo,"AUTOMATiQ","automatic/CVT user-value benchmark","production ecosystem","automatic stepless hub transmission with e-bike integration","Strong city/cargo automatic shifting value proposition.","Hub weight, efficiency, torque ratings and sport/off-road suitability need verification.","Learn cadence-control UX; compete in SUV/cargo with lower-maintenance central package.","O009","source_url_collected_needs_text_pass"
C010,L2 quasi-direct,Rohloff,"E-14 + SPEEDHUB 500/14","robust electronic internal-gear benchmark","production ecosystem","electronic 14-speed internal gear hub","Reliability reputation and high-range internal gear reference.","Cost, weight, hub service and compatibility need extraction.","Learn durability/service positioning; compete on central mass and deeper motor-shift control.","O010","source_url_collected_needs_text_pass"
C011,L3 benchmark,"DJI / Avinox","M2S/M2/M1","power-density and ecosystem benchmark","production drive-unit family","fixed-ratio mid-drive, no rider gearbox","Strong current-production reference for integrated motor, battery, display and app package.","Not an MGU; wrong to transfer specs to MG Concept.","Use as power/software ecosystem benchmark, not transmission benchmark.","O002","official_text_verified"
C012,L3 benchmark,Bosch,"Performance Line CX","global OEM/service benchmark","production ecosystem","fixed-ratio mid-drive, no rider gearbox","OEM breadth, trust, service network, smart-system integrations.","Competing head-on on pure motor platform is difficult and capital-intensive.","Avoid pure-motor red ocean; differentiate through transmission and low-maintenance value.","O005","official_text_verified"
C013,L3 benchmark,Bafang,"M-series high-torque drives","China/global supplier benchmark","production supplier ecosystem","fixed-ratio mid-drive, no rider gearbox","Cost, supply-chain breadth, OEM/aftermarket scale.","Model split, protocols and official specs need extraction.","Use for cost and China supply-chain benchmark, not direct MGU architecture.","O016","source_url_collected_needs_text_pass"
C014,L4 substitute,Pinion,"C/P-line gearboxes + Smart.Shift","gearbox architecture learning source","production gearbox ecosystem","sealed bottom-bracket gearbox, no motor","Deep gearbox experience, wide ratios, low-maintenance positioning.","No motor by itself; frame interface constraints.","Learn sealing, ratio strategy, service intervals and frame implications.","O024","source_url_collected_needs_text_pass"
C015,L4 substitute,Gates,"Carbon Drive","belt ecosystem companion","production ecosystem","belt and sprocket drivetrain","Low-maintenance companion to gearbox/MGU products.","Frame interface, tension, alignment and sprocket constraints.","Treat as enabling ecosystem for MGU value proposition.","O013","source_url_collected_needs_text_pass"
